,run,tag,step,value
90492,Hopper/Diverse2-0.05thresh-1k-seed0,Cumulative runtime,1,3.473391056
90493,Hopper/Diverse2-0.05thresh-1k-seed0,Cumulative runtime,2,3.497716904
90494,Hopper/Diverse2-0.05thresh-1k-seed0,Cumulative runtime,3,3.516977072
90495,Hopper/Diverse2-0.05thresh-1k-seed0,Cumulative runtime,4,3.536864996
90496,Hopper/Diverse2-0.05thresh-1k-seed0,Cumulative runtime,5,3.558553934
90497,Hopper/Diverse2-0.05thresh-1k-seed0,Cumulative runtime,6,3.583547115
90498,Hopper/Diverse2-0.05thresh-1k-seed0,Cumulative runtime,7,3.620017767
90499,Hopper/Diverse2-0.05thresh-1k-seed0,Cumulative runtime,8,3.638561964
90500,Hopper/Diverse2-0.05thresh-1k-seed0,Cumulative runtime,9,3.65449214
90501,Hopper/Diverse2-0.05thresh-1k-seed0,Cumulative runtime,10,3.668431997
90502,Hopper/Diverse2-0.05thresh-1k-seed0,Cumulative runtime,11,3.685055017
90503,Hopper/Diverse2-0.05thresh-1k-seed0,Cumulative runtime,12,3.707573891
90504,Hopper/Diverse2-0.05thresh-1k-seed0,Cumulative runtime,13,3.723684072
90505,Hopper/Diverse2-0.05thresh-1k-seed0,Cumulative runtime,14,3.742473841
90506,Hopper/Diverse2-0.05thresh-1k-seed0,Cumulative runtime,15,3.760882854
90507,Hopper/Diverse2-0.05thresh-1k-seed0,Cumulative runtime,16,3.78078413
90508,Hopper/Diverse2-0.05thresh-1k-seed0,Cumulative runtime,17,3.79468894
90509,Hopper/Diverse2-0.05thresh-1k-seed0,Cumulative runtime,18,3.811556101
90510,Hopper/Diverse2-0.05thresh-1k-seed0,Cumulative runtime,19,3.829431057
90511,Hopper/Diverse2-0.05thresh-1k-seed0,Cumulative runtime,20,3.845346928
90512,Hopper/Diverse2-0.05thresh-1k-seed0,Cumulative runtime,21,3.860432148
90513,Hopper/Diverse2-0.05thresh-1k-seed0,Cumulative runtime,22,3.875677824
90514,Hopper/Diverse2-0.05thresh-1k-seed0,Cumulative runtime,23,3.893839121
90515,Hopper/Diverse2-0.05thresh-1k-seed0,Cumulative runtime,24,3.913337946
90516,Hopper/Diverse2-0.05thresh-1k-seed0,Cumulative runtime,25,3.93026495
90517,Hopper/Diverse2-0.05thresh-1k-seed0,Cumulative runtime,26,3.945878029
90518,Hopper/Diverse2-0.05thresh-1k-seed0,Cumulative runtime,27,3.963164806
90519,Hopper/Diverse2-0.05thresh-1k-seed0,Cumulative runtime,28,4.039656639
90520,Hopper/Diverse2-0.05thresh-1k-seed0,Cumulative runtime,29,4.635697365
90521,Hopper/Diverse2-0.05thresh-1k-seed0,Cumulative runtime,30,4.894776344
90522,Hopper/Diverse2-0.05thresh-1k-seed0,Cumulative runtime,31,5.153750896
