step,base-maxreward,naive-maxreward,envinformed-maxreward,diverse1-maxreward,diverse2-maxreward,base-logq,naive-logq,envinformed-logq,diverse1-logq,diverse2-logq,base-numskills,naive-numskills,envinformed-numskills,diverse1-numskills,diverse2-numskills
39,37.871322,34.7908217,32.91281447,32.91281447,73.96691373,-2.048111367,-1.261997833,-1.1372016,-1.1357996,-0.3872075333,15,3,2.666666667,2.666666667,2
40,37.871322,34.7908217,32.91281447,32.91281447,73.96691373,-2.0426234,-1.255518767,-1.130843233,-1.129880733,-0.3867836333,15,3,2.666666667,2.666666667,2
41,40.48722523,34.7908217,32.91281447,32.91281447,73.96691373,-2.0376062,-1.248929567,-1.1245658,-1.123689067,-0.3863085,15,3,2.666666667,2.666666667,2
42,40.48722523,36.8750343,32.91281447,32.91281447,73.96691373,-2.0320848,-1.2420178,-1.118210833,-1.1173518,-0.3857055667,15,3,2.666666667,2.666666667,2
43,40.48722523,36.8750343,32.91281447,32.91281447,73.96691373,-2.027158133,-1.235123333,-1.1119501,-1.1111359,-0.3850328,15,3,2.666666667,3,2
44,40.48722523,36.8750343,32.91281447,33.78936703,73.96691373,-2.021845733,-1.228442633,-1.105800033,-1.105091033,-0.3844281333,15,3,2.666666667,3,2
45,40.48722523,36.8750343,32.91281447,33.78936703,73.96691373,-2.016353833,-1.221747533,-1.099604633,-1.0993998,-0.3837327,15,3,2.666666667,3,2
46,40.48722523,42.90627097,32.91281447,33.78936703,73.96691373,-2.010569567,-1.215064,-1.0935488,-1.093355867,-0.3829421333,15,3,2.666666667,3,2
47,40.48722523,43.4821402,32.91281447,36.4258709,87.96250893,-2.005162333,-1.208270833,-1.087450133,-1.0878477,-0.3820692667,15,3,2.666666667,3,2
48,40.48722523,43.4821402,32.91281447,36.4258709,87.96250893,-2.000202867,-1.201529733,-1.081384133,-1.082495833,-0.3812128,15,3,2.666666667,3,2
49,40.48722523,43.4821402,32.91281447,36.4258709,87.96250893,-1.9951821,-1.194846,-1.075435167,-1.076917767,-0.3803111,15,3,2.666666667,3,2
50,40.48722523,43.4821402,32.91281447,36.4258709,87.96250893,-1.990268633,-1.1881733,-1.069443567,-1.0713038,-0.3793628,15,3,2.666666667,3,2
51,40.48722523,43.4821402,32.91281447,36.4258709,87.96250893,-1.985389867,-1.1814719,-1.063378967,-1.065632367,-0.3784131667,15,3,2.666666667,3,2
52,42.16235543,43.4821402,32.91281447,43.0453167,87.96250893,-1.980442867,-1.174974367,-1.0574066,-1.060050167,-0.3775037333,15,3,2.666666667,3,2
53,42.16235543,43.4821402,32.91281447,43.0453167,95.17778247,-1.975477833,-1.168532033,-1.051300067,-1.0545723,-0.3765083,15,3,3,3,2
54,42.16235543,43.4821402,32.91281447,43.0453167,95.17778247,-1.9705768,-1.162129933,-1.045383533,-1.048995,-0.3755139,15,3,3,3,2
55,42.16235543,43.4821402,32.91281447,43.0453167,95.17778247,-1.9656459,-1.155752333,-1.039470867,-1.0434981,-0.3744517,15,3,3,3,2
56,42.16235543,43.4821402,32.91281447,43.0453167,95.17778247,-1.9606801,-1.149323067,-1.033547633,-1.038020633,-0.3733477667,15,3,3,3,2
57,42.16235543,43.4821402,32.91281447,43.0453167,95.3130097,-1.955541467,-1.142866267,-1.027549267,-1.032487933,-0.3721477333,15,3,3.333333333,3,2
58,42.16235543,43.4821402,32.91281447,43.0453167,95.3130097,-1.950167567,-1.136493267,-1.021550767,-1.026919833,-0.3709339333,15,3,3.333333333,3,2
59,42.16235543,43.4821402,32.91281447,43.0453167,95.3130097,-1.945319767,-1.130118567,-1.0155928,-1.0212884,-0.3696415,15,3,3.333333333,3,2
60,42.16235543,43.4821402,32.91281447,43.0453167,95.3130097,-1.9411213,-1.1239385,-1.0103083,-1.015906167,-0.3683140667,15,3,3.333333333,3,2
61,42.16235543,43.4821402,32.91281447,50.27699027,95.3130097,-1.9362585,-1.117842367,-1.0050013,-1.0107205,-0.3669612667,15,3,3.333333333,3,2
62,42.16235543,43.4821402,34.41560617,50.27699027,95.3130097,-1.931620233,-1.111634333,-0.9995025,-1.005332033,-0.3655744,15,3,3.333333333,3,2.666666667
63,42.16235543,43.4821402,34.50789387,50.27699027,102.5430881,-1.926803433,-1.1055629,-0.9942330333,-0.9999025,-0.3644995333,15,3,3.333333333,3,2.666666667
64,42.16235543,43.4821402,34.50789387,50.27699027,102.5430881,-1.922033133,-1.099528167,-0.9890184667,-0.9944602667,-0.3631987667,15,3,3.333333333,3,2.666666667
65,42.16235543,43.4821402,34.50789387,50.27699027,102.5430881,-1.917183767,-1.093590067,-0.9835563333,-0.9890526667,-0.3617708667,15,3,3.333333333,3,2.666666667
66,42.16235543,45.18233043,48.89982223,50.27699027,112.3416774,-1.912302967,-1.087399067,-0.9781022333,-0.9837618,-0.3602845333,15,3,3.333333333,3,2.666666667
67,42.16235543,46.32075817,48.89982223,50.27699027,112.3416774,-1.908007533,-1.081172267,-0.9729863,-0.9784304667,-0.3595420333,15,3,3.333333333,3,2.666666667
68,42.16235543,46.32075817,48.89982223,50.27699027,112.3416774,-1.9039466,-1.0750017,-0.9678326333,-0.9729909,-0.3586639333,15,3,3.333333333,3,2.666666667
69,42.16235543,46.32075817,48.89982223,52.6873811,112.3416774,-1.8994967,-1.0687695,-0.9629912,-0.9675743667,-0.3578130667,15,3,3.333333333,3,2.666666667
70,42.16235543,46.32075817,48.89982223,52.6873811,112.3416774,-1.8949972,-1.0626077,-0.9582673667,-0.9622256,-0.3568145667,15,3,3.333333333,3,2.666666667
71,42.16235543,46.32075817,48.89982223,52.6873811,120.1952769,-1.890342933,-1.056432267,-0.9534281333,-0.9568911667,-0.35578,15,3,3.333333333,3,2.666666667
72,42.16235543,46.32075817,48.89982223,52.6873811,120.1952769,-1.885860867,-1.0502815,-0.9485012,-0.9515721333,-0.3546769,15,3,3.333333333,3,2.666666667
73,54.84820747,46.32075817,48.89982223,52.6873811,120.1952769,-1.8813593,-1.0441066,-0.9436406667,-0.9462903,-0.3535935667,15,3,3.333333333,3,2.666666667
74,54.84820747,46.32075817,96.04632583,61.01373107,120.1952769,-1.876783467,-1.037915267,-0.9389571,-0.9409488,-0.3525181667,15,3,3.333333333,3.333333333,2.666666667
75,54.84820747,46.32075817,96.04632583,61.36158313,120.1952769,-1.8725021,-1.031791633,-0.9342411,-0.9357356667,-0.3514243333,15,3,3.333333333,3.333333333,2.666666667
76,54.84820747,46.32075817,96.04632583,61.36158313,120.1952769,-1.868388733,-1.0256336,-0.9293980333,-0.9305406333,-0.3503206667,15,3,3.333333333,3.333333333,2.666666667
77,54.84820747,46.32075817,96.04632583,85.9939377,120.1952769,-1.864691167,-1.019624833,-0.9245087333,-0.9254313667,-0.3492977333,15,3,3.333333333,3.333333333,2.666666667
78,54.84820747,46.32075817,96.04632583,85.9939377,120.1952769,-1.8608393,-1.013495267,-0.9195122,-0.9201990333,-0.3483613333,15,3,3.333333333,3.333333333,2.666666667
79,54.84820747,52.0535984,96.04632583,85.9939377,120.1952769,-1.856795133,-1.008309567,-0.9145072667,-0.9150607667,-0.3472968667,15,4,3.333333333,3.333333333,2.666666667
80,58.59758373,52.0535984,96.04632583,91.34506303,120.1952769,-1.853082267,-1.0030826,-0.9095684667,-0.9098362667,-0.3463043333,15,4,3.333333333,3.333333333,2.666666667
81,58.59758373,76.9921646,96.04632583,103.8719462,120.1952769,-1.849124533,-0.9976977667,-0.9045775333,-0.9045101,-0.3452777,15,4,3.333333333,3.333333333,2.666666667
82,58.59758373,76.9921646,96.04632583,103.8719462,120.1952769,-1.845062633,-0.9921830333,-0.8995130333,-0.8991003,-0.3441614,15,4,3.333333333,3.666666667,2.666666667
83,58.59758373,76.9921646,96.04632583,107.7224381,120.1952769,-1.841287133,-0.9865689,-0.8944800667,-0.8941430667,-0.3429896667,15,4,3.333333333,3.666666667,2.666666667
84,58.59758373,83.13313547,96.04632583,107.7224381,120.1952769,-1.837493,-0.9809065,-0.8894727,-0.8889884333,-0.3418287667,15,4,3.333333333,4,2.666666667
85,58.59758373,83.13313547,96.04632583,107.7224381,132.1871313,-1.833914733,-0.9751959667,-0.8845463667,-0.8837910333,-0.3407046667,15,4,3.333333333,4,2.666666667
86,58.59758373,90.1122715,99.00127423,107.7224381,132.1871313,-1.830370733,-0.9696771,-0.8795391667,-0.8785855667,-0.3394906333,15,4,3.333333333,4,2.666666667
87,58.59758373,91.3796565,139.1062625,107.7224381,147.4772213,-1.82738,-0.9640018333,-0.8743897333,-0.8733629333,-0.3382120667,15,4,3.333333333,4,2.666666667
88,58.59758373,91.3796565,144.4872742,107.7224381,147.4772213,-1.824803933,-0.9585027667,-0.8692453,-0.8681257667,-0.3368962333,15,4,3.333333333,4,2.666666667
89,58.59758373,92.1250102,144.4872742,107.7224381,147.4772213,-1.821765633,-0.9531023667,-0.8639752333,-0.8633193,-0.3355931,15,4,3.333333333,4,2.666666667
90,58.8884099,92.1250102,144.4872742,107.7224381,180.308703,-1.819271767,-0.9481254,-0.8588037667,-0.8587195,-0.3343717,15,4,3.333333333,4,2.666666667
91,98.5302455,92.1250102,144.4872742,126.5618013,180.308703,-1.816514367,-0.9430070333,-0.8536749667,-0.8539525667,-0.3330315667,15,4,3.333333333,4,2.666666667
92,100.0912667,92.1250102,144.4872742,126.5618013,180.308703,-1.813339933,-0.9377932333,-0.8485407667,-0.8491061667,-0.3317472667,15,4,3.333333333,4,2.666666667
93,100.0912667,92.1250102,144.4872742,126.5618013,180.308703,-1.809807033,-0.9325633333,-0.8434507667,-0.8442601667,-0.3304489667,15,4,3.333333333,4,2.666666667
94,100.0912667,92.1250102,144.4872742,127.0391519,180.308703,-1.8062221,-0.9274152667,-0.8383637,-0.8393923667,-0.3291744,15,4,3.333333333,4,2.666666667
95,104.1040802,92.1250102,146.7192129,127.0391519,180.308703,-1.8028564,-0.9221874,-0.8331854667,-0.8344786667,-0.3278446667,15,4,3.333333333,4,2.666666667
96,104.1040802,92.1250102,146.7192129,127.0391519,180.308703,-1.799345333,-0.9168997,-0.8279117333,-0.8294852667,-0.3265930333,15,4,3.333333333,4,2.666666667
97,104.1040802,92.1250102,146.7192129,127.0391519,180.308703,-1.796190033,-0.9116532,-0.8226753667,-0.8244469667,-0.3253332,15,4,3.333333333,4,2.666666667
