,run,tag,step,value
54561,Hopper/Baseline-15skills-seed0,Cumulative runtime,70,18.40003204
54562,Hopper/Baseline-15skills-seed0,Cumulative runtime,71,18.87103462
54563,Hopper/Baseline-15skills-seed0,Cumulative runtime,72,19.42612839
54564,Hopper/Baseline-15skills-seed0,Cumulative runtime,73,19.77553749
54565,Hopper/Baseline-15skills-seed0,Cumulative runtime,74,20.19589615
54566,Hopper/Baseline-15skills-seed0,Cumulative runtime,75,20.61357498
54567,Hopper/Baseline-15skills-seed0,Cumulative runtime,76,21.0050621
54568,Hopper/Baseline-15skills-seed0,Cumulative runtime,77,21.44267082
54569,Hopper/Baseline-15skills-seed0,Cumulative runtime,78,21.88619804
54570,Hopper/Baseline-15skills-seed0,Cumulative runtime,79,22.29133034
54571,Hopper/Baseline-15skills-seed0,Cumulative runtime,80,22.88782501
54572,Hopper/Baseline-15skills-seed0,Cumulative runtime,81,23.49059868
54573,Hopper/Baseline-15skills-seed0,Cumulative runtime,82,23.91981506
54574,Hopper/Baseline-15skills-seed0,Cumulative runtime,83,24.30218315
54575,Hopper/Baseline-15skills-seed0,Cumulative runtime,84,24.85491562
54576,Hopper/Baseline-15skills-seed0,Cumulative runtime,85,25.39541817
54577,Hopper/Baseline-15skills-seed0,Cumulative runtime,86,26.05347252
54578,Hopper/Baseline-15skills-seed0,Cumulative runtime,87,26.71827698
54579,Hopper/Baseline-15skills-seed0,Cumulative runtime,88,27.29165268
54580,Hopper/Baseline-15skills-seed0,Cumulative runtime,89,27.94190598
54581,Hopper/Baseline-15skills-seed0,Cumulative runtime,90,28.71242142
54582,Hopper/Baseline-15skills-seed0,Cumulative runtime,91,29.27543259
54583,Hopper/Baseline-15skills-seed0,Cumulative runtime,92,30.11299133
54584,Hopper/Baseline-15skills-seed0,Cumulative runtime,93,30.67097092
54585,Hopper/Baseline-15skills-seed0,Cumulative runtime,94,31.17218971
54586,Hopper/Baseline-15skills-seed0,Cumulative runtime,95,32.03223038
54587,Hopper/Baseline-15skills-seed0,Cumulative runtime,96,32.44153595
54588,Hopper/Baseline-15skills-seed0,Cumulative runtime,97,33.21348572
54589,Hopper/Baseline-15skills-seed0,Cumulative runtime,98,33.75817108
54590,Hopper/Baseline-15skills-seed0,Cumulative runtime,99,34.98830795
54591,Hopper/Baseline-15skills-seed0,Cumulative runtime,100,35.49616623
54592,Hopper/Baseline-15skills-seed0,Cumulative runtime,101,36.29473495
54593,Hopper/Baseline-15skills-seed0,Cumulative runtime,102,36.87765884
54594,Hopper/Baseline-15skills-seed0,Cumulative runtime,103,37.1243248
54595,Hopper/Baseline-15skills-seed0,Cumulative runtime,104,38.13602066
54596,Hopper/Baseline-15skills-seed0,Cumulative runtime,105,39.20573044
54597,Hopper/Baseline-15skills-seed0,Cumulative runtime,106,41.06415558
54598,Hopper/Baseline-15skills-seed0,Cumulative runtime,107,43.30299377
54599,Hopper/Baseline-15skills-seed0,Cumulative runtime,108,43.91993332
54600,Hopper/Baseline-15skills-seed0,Cumulative runtime,109,44.54602432
54601,Hopper/Baseline-15skills-seed0,Cumulative runtime,110,45.14131546
54602,Hopper/Baseline-15skills-seed0,Cumulative runtime,111,45.94742203
54603,Hopper/Baseline-15skills-seed0,Cumulative runtime,112,46.8425827
54604,Hopper/Baseline-15skills-seed0,Cumulative runtime,113,48.76077652
54605,Hopper/Baseline-15skills-seed0,Cumulative runtime,114,49.50428772
54606,Hopper/Baseline-15skills-seed0,Cumulative runtime,115,50.68258667
54607,Hopper/Baseline-15skills-seed0,Cumulative runtime,116,52.49803543
54608,Hopper/Baseline-15skills-seed0,Cumulative runtime,117,53.85488892
54609,Hopper/Baseline-15skills-seed0,Cumulative runtime,118,54.46401215
54610,Hopper/Baseline-15skills-seed0,Cumulative runtime,119,55.80018997
54611,Hopper/Baseline-15skills-seed0,Cumulative runtime,120,56.73418427
54612,Hopper/Baseline-15skills-seed0,Cumulative runtime,121,58.30055237
54613,Hopper/Baseline-15skills-seed0,Cumulative runtime,122,60.74112701
54614,Hopper/Baseline-15skills-seed0,Cumulative runtime,123,61.46492386
54615,Hopper/Baseline-15skills-seed0,Cumulative runtime,124,62.01399994
54616,Hopper/Baseline-15skills-seed0,Cumulative runtime,125,63.05506897
54617,Hopper/Baseline-15skills-seed0,Cumulative runtime,126,63.75158691
54618,Hopper/Baseline-15skills-seed0,Cumulative runtime,127,65.02381897
54619,Hopper/Baseline-15skills-seed0,Cumulative runtime,128,65.76454163
54620,Hopper/Baseline-15skills-seed0,Cumulative runtime,129,66.39337921
54621,Hopper/Baseline-15skills-seed0,Cumulative runtime,130,67.20387268
54622,Hopper/Baseline-15skills-seed0,Cumulative runtime,131,68.12107086
54623,Hopper/Baseline-15skills-seed0,Cumulative runtime,132,69.58893585
54624,Hopper/Baseline-15skills-seed0,Cumulative runtime,133,69.91313934
54625,Hopper/Baseline-15skills-seed0,Cumulative runtime,134,70.865242
54626,Hopper/Baseline-15skills-seed0,Cumulative runtime,135,72.67378235
54627,Hopper/Baseline-15skills-seed0,Cumulative runtime,136,74.4664917
54628,Hopper/Baseline-15skills-seed0,Cumulative runtime,137,76.61780548
54629,Hopper/Baseline-15skills-seed0,Cumulative runtime,138,77.50606537
54630,Hopper/Baseline-15skills-seed0,Cumulative runtime,139,77.96694946
54631,Hopper/Baseline-15skills-seed0,Cumulative runtime,140,79.44618225
54632,Hopper/Baseline-15skills-seed0,Cumulative runtime,141,81.13183594
