Step,Baseline,Na•ve,Reward
69.00,94.98771667,53.03820801,134.5396271
70.00,94.98771667,53.03820801,134.5396271
71.00,94.98771667,53.03820801,134.5396271
72.00,94.98771667,53.03820801,134.5396271
73.00,94.98771667,53.03820801,134.5396271
74.00,94.98771667,53.03820801,134.5396271
75.00,94.98771667,53.03820801,134.5396271
76.00,94.98771667,53.03820801,134.5396271
77.00,94.98771667,189.4154663,134.5396271
78.00,94.98771667,189.4154663,134.5396271
79.00,94.98771667,189.4154663,134.5396271
80.00,94.98771667,189.4154663,142.0370331
81.00,94.98771667,189.4154663,142.0370331
82.00,94.98771667,189.4154663,142.0370331
83.00,94.98771667,189.4154663,142.0370331
84.00,94.98771667,189.4154663,142.0370331
85.00,94.98771667,189.4154663,142.0370331
86.00,94.98771667,189.4154663,142.0370331
87.00,94.98771667,189.7932281,142.0370331
88.00,94.98771667,189.7932281,142.0370331
89.00,94.98771667,189.7932281,142.0370331
90.00,94.98771667,189.7932281,142.0370331
91.00,94.98771667,189.7932281,142.0370331
92.00,94.98771667,189.7932281,142.0370331
93.00,94.98771667,189.7932281,142.0370331
94.00,94.98771667,189.7932281,142.0370331
95.00,94.98771667,189.7932281,142.0370331
96.00,94.98771667,189.7932281,142.0370331
97.00,94.98771667,189.7932281,142.0370331
98.00,94.98771667,189.7932281,142.0370331
99.00,94.98771667,189.7932281,142.0370331
100.00,94.98771667,197.4328766,142.0370331
101.00,94.98771667,197.7623291,142.0370331
102.00,94.98771667,197.7623291,142.0370331
103.00,94.98771667,197.7623291,142.0370331
104.00,94.98771667,197.7623291,259.7496338
105.00,94.98771667,197.7623291,259.7496338
106.00,94.98771667,197.7623291,259.7496338
107.00,94.98771667,197.7623291,259.7496338
108.00,94.98771667,197.7623291,259.7496338
109.00,94.98771667,197.7623291,259.7496338
110.00,94.98771667,197.7623291,259.7496338
111.00,94.98771667,197.7623291,259.7496338
112.00,94.98771667,197.7623291,259.7496338
113.00,94.98771667,197.7623291,259.7496338
114.00,94.98771667,197.7623291,259.7496338
115.00,94.98771667,197.7623291,259.7496338
116.00,94.98771667,197.7623291,259.7496338
117.00,246.1615601,221.642807,259.7496338
118.00,246.1615601,221.642807,259.7496338
119.00,246.1615601,221.642807,259.7496338
120.00,246.1615601,221.642807,259.7496338
121.00,246.1615601,221.642807,259.7496338
122.00,246.1615601,221.642807,259.7496338
123.00,246.1615601,221.642807,259.7496338
124.00,246.1615601,221.642807,259.7496338
125.00,246.1615601,221.642807,259.7496338
126.00,246.1615601,221.642807,259.7496338
127.00,246.1615601,221.642807,259.7496338
128.00,246.1615601,221.642807,259.7496338
129.00,246.1615601,221.642807,259.7496338
130.00,246.1615601,221.642807,259.7496338
131.00,246.1615601,221.642807,259.7496338
132.00,246.1615601,221.642807,259.7496338
133.00,246.1615601,402.5278625,259.7496338
134.00,246.1615601,402.5278625,259.7496338
135.00,246.1615601,402.5278625,259.7496338
136.00,246.1615601,402.5278625,259.7496338
137.00,246.1615601,402.5278625,259.7496338
138.00,246.1615601,402.5278625,259.7496338
139.00,246.1615601,402.5278625,259.7496338
140.00,246.1615601,402.5278625,259.7496338
141.00,246.1615601,402.5278625,259.7496338
142.00,246.1615601,402.5278625,259.7496338
143.00,246.1615601,402.5278625,259.7496338
144.00,246.1615601,402.5278625,259.7496338
145.00,246.1615601,1043.113892,259.7496338
146.00,246.1615601,1043.113892,259.7496338
147.00,352.5397034,1043.113892,259.7496338
148.00,352.5397034,1043.113892,259.7496338
149.00,352.5397034,1043.113892,999.5426025
150.00,352.5397034,1043.113892,999.5426025
151.00,352.5397034,1043.113892,1029.424561
152.00,352.5397034,1043.113892,1029.424561
153.00,352.5397034,1043.113892,1029.424561
154.00,352.5397034,1043.113892,1037.900879
155.00,352.5397034,1043.113892,1037.900879
156.00,352.5397034,1043.113892,1037.900879
157.00,352.5397034,1043.113892,1037.900879
158.00,352.5397034,1043.113892,1037.900879
159.00,352.5397034,1043.113892,1037.900879
160.00,352.5397034,1043.113892,1037.900879
161.00,352.5397034,1043.113892,1037.900879
162.00,352.5397034,1043.113892,1037.900879
163.00,352.5397034,1043.113892,1037.900879
164.00,352.5397034,1043.113892,1037.900879
165.00,352.5397034,1043.113892,1037.900879
166.00,352.5397034,1043.113892,1037.900879
167.00,352.5397034,1043.113892,1037.900879
168.00,352.5397034,1043.113892,1037.900879
169.00,352.5397034,1043.113892,1037.900879
170.00,352.5397034,1043.113892,1037.900879
171.00,352.5397034,1043.113892,1037.900879
172.00,352.5397034,1043.113892,1037.900879
173.00,352.5397034,1052.413086,1037.900879
174.00,352.5397034,1052.413086,1037.900879
175.00,352.5397034,1052.413086,1037.900879
176.00,352.5397034,1052.413086,1037.900879
177.00,352.5397034,1052.413086,1037.900879
178.00,352.5397034,1052.413086,1037.900879
179.00,352.5397034,1052.413086,1037.900879
180.00,352.5397034,1052.413086,1037.900879
181.00,352.5397034,1052.413086,1037.900879
182.00,352.5397034,1052.413086,1037.900879
183.00,352.5397034,1052.413086,1037.900879
184.00,352.5397034,1052.413086,1037.900879
185.00,352.5397034,1052.413086,1037.900879
186.00,352.5397034,1052.413086,1037.900879
187.00,352.5397034,1052.413086,1037.900879
188.00,352.5397034,1052.413086,1037.900879
189.00,352.5397034,1081.115479,1037.900879
190.00,352.5397034,1081.115479,1037.900879
191.00,352.5397034,1081.115479,1037.900879
192.00,352.5397034,1081.115479,1037.900879
193.00,352.5397034,1081.115479,1037.900879
194.00,352.5397034,1081.115479,1037.900879
195.00,352.5397034,1081.115479,1037.900879
196.00,352.5397034,1081.115479,1037.900879
197.00,352.5397034,1081.115479,1037.900879
198.00,983.2421875,1081.115479,1037.900879
199.00,983.2421875,1081.115479,1037.900879
200.00,983.2421875,1081.115479,1037.900879
201.00,983.2421875,1081.115479,1037.900879
202.00,983.2421875,1081.115479,1037.900879
203.00,983.2421875,1081.115479,1037.900879
204.00,983.2421875,1081.115479,1037.900879
205.00,983.2421875,1081.115479,1037.900879
206.00,983.2421875,1081.115479,1037.900879
207.00,983.2421875,1081.115479,1037.900879
208.00,983.2421875,1081.115479,1037.900879
209.00,983.2421875,1081.115479,1037.900879
210.00,983.2421875,1081.115479,1037.900879
211.00,983.2421875,1081.115479,1037.900879
212.00,983.2421875,1081.115479,1037.900879
213.00,983.2421875,1081.115479,1037.900879
214.00,983.2421875,1081.115479,1037.900879
215.00,983.2421875,1081.115479,1037.900879
216.00,983.2421875,1081.115479,1037.900879
217.00,983.2421875,1081.115479,1037.900879
218.00,983.2421875,1081.115479,1037.900879
219.00,983.2421875,1081.115479,1037.900879
220.00,983.2421875,1081.115479,1037.900879
221.00,983.2421875,1081.115479,1037.900879
222.00,983.2421875,1081.115479,1037.900879
223.00,983.2421875,1081.115479,1037.900879
224.00,983.2421875,1081.115479,1037.900879
225.00,983.2421875,1081.115479,1037.900879
226.00,983.2421875,1081.115479,1037.900879
227.00,1006.203064,1081.115479,1037.900879
228.00,1006.203064,1081.115479,1037.900879
229.00,1006.203064,1081.115479,1037.900879
230.00,1006.203064,1081.115479,1037.900879
231.00,1006.203064,1081.115479,1037.900879
232.00,1006.203064,1081.115479,1037.900879
233.00,1006.203064,1081.115479,1037.900879
234.00,1006.203064,1081.115479,1037.900879
235.00,1006.203064,1081.115479,1037.900879
236.00,1006.554504,1081.115479,1037.900879
237.00,1006.554504,1081.115479,1037.900879
238.00,1006.554504,1081.115479,1037.900879
239.00,1006.554504,1081.115479,1037.900879
240.00,1006.554504,1081.115479,1037.900879
241.00,1006.554504,1081.115479,1037.900879
242.00,1006.554504,1081.115479,1037.900879
243.00,1054.307861,1081.115479,1115.780396
244.00,1054.307861,1081.115479,1115.780396
245.00,1054.307861,1081.115479,1115.780396
246.00,1054.307861,1081.115479,1115.780396
247.00,1054.307861,1081.115479,1115.780396
248.00,1054.307861,1081.115479,1115.780396
249.00,1054.307861,1081.115479,1115.780396
250.00,1054.307861,1081.115479,1115.780396
251.00,1054.307861,1081.115479,1115.780396
252.00,1054.307861,1081.115479,1115.780396
253.00,1054.307861,1081.115479,1115.780396
254.00,1054.307861,1081.115479,1115.780396
255.00,1054.307861,1081.115479,1115.780396
256.00,1054.307861,1081.115479,1115.780396
257.00,1054.307861,1081.115479,1115.780396
258.00,1054.307861,1081.115479,1115.780396
259.00,1054.307861,1081.115479,1115.780396
260.00,1054.307861,1081.115479,1115.780396
261.00,1054.307861,1081.115479,1115.780396
262.00,1054.307861,1081.115479,1115.780396
263.00,1054.307861,1081.115479,1115.780396
264.00,1054.307861,1081.115479,1115.780396
265.00,1054.307861,1081.115479,1115.780396
266.00,1054.307861,1081.115479,1115.780396
267.00,1054.307861,1081.115479,1115.780396
268.00,1054.307861,1081.115479,1115.780396
269.00,1054.307861,1081.115479,1115.780396
270.00,1054.307861,1081.115479,1115.780396
271.00,1054.307861,1081.115479,1115.780396
272.00,1054.307861,1081.115479,1115.780396
273.00,1054.307861,1081.115479,1115.780396
274.00,1054.307861,1081.115479,1115.780396
275.00,1054.307861,1081.115479,1115.780396
276.00,1054.307861,1081.115479,1115.780396
277.00,1054.307861,1081.115479,1115.780396
278.00,1054.307861,1081.115479,1115.780396
279.00,1054.307861,1081.115479,1115.780396
280.00,1054.307861,1081.115479,1115.780396
281.00,1054.307861,1081.115479,1115.780396
282.00,1054.307861,1081.115479,1115.780396
283.00,1054.307861,1081.115479,1115.780396
284.00,1054.307861,1081.115479,1115.780396
285.00,1054.307861,1081.115479,1115.780396
286.00,1054.307861,1081.115479,1115.780396
287.00,1054.307861,1081.115479,1115.780396
288.00,1054.307861,1081.115479,1115.780396
289.00,1054.307861,1081.115479,1115.780396
290.00,1054.307861,1081.115479,1115.780396
291.00,1054.307861,1081.115479,1115.780396
292.00,1054.307861,1081.115479,1115.780396
293.00,1054.307861,1081.115479,1115.780396
294.00,1054.307861,1081.115479,1115.780396
295.00,1054.307861,1081.115479,1115.780396
296.00,1054.307861,1081.115479,1115.780396
297.00,1054.307861,1081.115479,1115.780396
298.00,1054.307861,1081.115479,1115.780396
299.00,1054.307861,1081.115479,1115.780396
