Step,Baseline,Na•ve,Reward
0.00,3.929154634,6.749178886,3.089226484
1.00,3.929154634,6.749178886,10.67615891
2.00,5.839018345,7.237043381,30.50631905
3.00,5.839018345,7.237043381,93.99111938
4.00,5.839018345,27.91902351,93.99111938
5.00,5.839018345,27.91902351,93.99111938
6.00,5.839018345,27.91902351,102.2376862
7.00,6.166106701,27.91902351,102.2376862
8.00,6.166106701,27.91902351,102.2376862
9.00,7.552426338,27.91902351,102.2376862
10.00,7.741559982,27.91902351,102.2376862
11.00,7.741559982,27.91902351,102.2376862
12.00,7.741559982,27.91902351,102.2376862
13.00,7.741559982,27.91902351,102.2376862
14.00,7.741559982,27.91902351,102.2376862
15.00,7.741559982,27.91902351,102.2376862
16.00,7.741559982,27.91902351,102.2376862
17.00,7.741559982,27.91902351,102.2376862
18.00,7.741559982,27.91902351,102.2376862
19.00,7.741559982,27.91902351,102.2376862
20.00,7.741559982,27.91902351,102.2376862
21.00,7.741559982,27.91902351,102.2376862
22.00,7.741559982,27.91902351,102.2376862
23.00,7.741559982,27.91902351,102.2376862
24.00,7.741559982,27.91902351,102.2376862
25.00,7.741559982,27.91902351,102.2376862
26.00,7.741559982,27.91902351,102.2376862
27.00,7.741559982,27.91902351,102.2376862
28.00,7.741559982,27.91902351,102.2376862
29.00,7.741559982,27.91902351,102.2376862
30.00,7.741559982,27.91902351,102.2376862
31.00,7.741559982,27.91902351,102.2376862
32.00,7.741559982,27.91902351,102.2376862
33.00,20.90849113,27.91902351,102.2376862
34.00,23.48294067,27.91902351,102.2376862
35.00,23.48294067,27.91902351,102.2376862
36.00,75.5524292,27.91902351,102.2376862
37.00,75.5524292,27.91902351,102.2376862
38.00,94.98771667,27.91902351,102.2376862
39.00,94.98771667,27.91902351,102.2376862
40.00,94.98771667,27.91902351,102.2376862
41.00,94.98771667,27.91902351,102.2376862
42.00,94.98771667,27.91902351,102.2376862
43.00,94.98771667,27.91902351,102.2376862
44.00,94.98771667,27.91902351,102.2376862
45.00,94.98771667,27.91902351,102.2376862
46.00,94.98771667,27.91902351,102.2376862
47.00,94.98771667,27.91902351,102.2376862
48.00,94.98771667,27.91902351,102.2376862
49.00,94.98771667,27.91902351,102.2376862
50.00,94.98771667,27.91902351,102.2376862
51.00,94.98771667,27.91902351,102.2376862
52.00,94.98771667,27.91902351,102.2376862
53.00,94.98771667,27.91902351,102.2376862
54.00,94.98771667,27.91902351,102.2376862
55.00,94.98771667,27.91902351,102.2376862
56.00,94.98771667,27.91902351,102.2376862
57.00,94.98771667,27.91902351,102.2376862
58.00,94.98771667,27.91902351,102.2376862
59.00,94.98771667,27.91902351,102.2376862
60.00,94.98771667,27.91902351,102.2376862
61.00,94.98771667,27.91902351,102.2376862
62.00,94.98771667,27.91902351,102.2376862
63.00,94.98771667,27.91902351,102.2376862
64.00,94.98771667,53.03820801,102.2376862
65.00,94.98771667,53.03820801,102.2376862
66.00,94.98771667,53.03820801,102.2376862
67.00,94.98771667,53.03820801,134.5396271
68.00,94.98771667,53.03820801,134.5396271
