Wall time,Step,Value
1650338303.4520361,1,0.0
1650338303.474785,2,0.0
1650338303.495015,3,0.0
1650338303.526106,4,0.0
1650338303.576768,5,0.0
1650338303.604195,6,0.0
1650338303.633256,7,0.0
1650338303.768276,8,-0.4461538791656494
1650338304.4492328,10,-0.4495788514614105
1650338304.976212,11,-0.4477556347846985
1650338304.119468,9,-0.4502837657928467
1650338305.743865,12,-0.4461052119731903
1650338306.0344388,13,-0.4453088343143463
1650338306.515079,14,-0.4440998136997223
1650338306.871996,15,-0.4427993893623352
1650338308.512118,16,-0.44126734137535095
1650338308.751937,17,-0.43962809443473816
1650338309.2258549,18,-0.4378207325935364
1650338310.248713,19,-0.4383227229118347
1650338311.209409,20,-0.4382050335407257
1650338311.446959,21,-0.4386269748210907
1650338312.048821,22,-0.44043782353401184
1650338312.4777238,23,-0.4418262839317322
1650338314.4077911,24,-0.44397667050361633
1650338314.670379,25,-0.44597986340522766
1650338314.9073548,26,-0.448792427778244
1650338315.1176162,27,-0.45253369212150574
1650338315.5098948,28,-0.4549761712551117
1650338315.9286668,29,-0.45734432339668274
1650338316.617017,30,-0.45964011549949646
1650338316.828226,31,-0.46209925413131714
1650338317.040014,32,-0.46458354592323303
1650338317.277152,33,-0.46708300709724426
1650338317.514716,34,-0.46999552845954895
1650338317.7286038,35,-0.4728296399116516
1650338318.0295339,36,-0.4752063751220703
1650338318.293002,37,-0.47786465287208557
1650338318.668334,38,-0.4810788631439209
1650338319.037121,39,-0.4849518835544586
1650338319.404116,40,-0.48869726061820984
1650338320.266783,41,-0.4935377836227417
1650338321.1422641,42,-0.49740761518478394
1650338321.4059021,43,-0.5012415647506714
1650338322.3230238,44,-0.5049108862876892
1650338322.588704,45,-0.508785605430603
1650338322.935348,46,-0.5129588842391968
1650338323.491742,47,-0.5168449282646179
1650338324.212379,48,-0.5212587714195251
1650338324.4756281,49,-0.5257289409637451
1650338325.0805519,50,-0.5300659537315369
1650338325.8397708,51,-0.5342053174972534
1650338326.232588,52,-0.5393084287643433
1650338327.249558,53,-0.5441684126853943
1650338327.498441,54,-0.5488235950469971
1650338327.973119,55,-0.5532436370849609
1650338328.2347589,56,-0.5579236745834351
1650338328.52436,57,-0.5624107122421265
1650338328.8405042,58,-0.5678302645683289
1650338329.288088,59,-0.5730645656585693
1650338329.931592,60,-0.5782470703125
1650338330.325654,61,-0.5836759209632874
1650338330.799291,62,-0.588973879814148
1650338331.090661,63,-0.5943989753723145
1650338331.383638,64,-0.5997557640075684
1650338331.645524,65,-0.6047964096069336
1650338332.258815,66,-0.6098149418830872
1650338332.67836,67,-0.6151304244995117
1650338333.5677922,68,-0.6207483410835266
1650338333.75331,69,-0.6256078481674194
1650338334.200167,70,-0.6306142807006836
1650338334.8035252,71,-0.6352454423904419
1650338335.052047,72,-0.6400610208511353
1650338335.786303,73,-0.645324170589447
1650338336.0236301,74,-0.650854229927063
1650338336.3398058,75,-0.6561225652694702
1650338336.949455,76,-0.6614358425140381
1650338337.401579,77,-0.6661330461502075
1650338338.0916321,78,-0.671898365020752
1650338338.328217,79,-0.6772952675819397
1650338339.218674,80,-0.6827920079231262
1650338339.4608178,81,-0.6883850693702698
1650338339.883619,82,-0.6937868595123291
1650338340.468323,83,-0.6989103555679321
1650338341.11077,84,-0.7038551568984985
1650338341.740454,85,-0.7087533473968506
1650338342.5259688,86,-0.7145609259605408
1650338343.354325,87,-0.7198405265808105
1650338344.26921,88,-0.7249876856803894
1650338344.6626859,89,-0.7302938103675842
1650338345.3263628,90,-0.7352054119110107
1650338345.824738,91,-0.7399972677230835
1650338346.874412,92,-0.7459843158721924
1650338347.899652,93,-0.7514381408691406
1650338348.972213,94,-0.7568937540054321
1650338349.896991,95,-0.7620828747749329
1650338350.5500631,96,-0.7672803997993469
1650338350.780392,97,-0.7722622156143188
1650338351.590749,98,-0.7770894169807434
1650338352.35666,100,-0.7860043048858643
1650338352.9925408,101,-0.7908836603164673
1650338352.145632,99,-0.7817550301551819
1650338353.503721,102,-0.7957466244697571
1650338354.417433,103,-0.8006502389907837
1650338354.940027,104,-0.8057542443275452
1650338355.3857741,105,-0.8104134798049927
1650338355.80762,106,-0.8150374889373779
1650338356.4422069,107,-0.8191654086112976
1650338357.179824,108,-0.8232234716415405
1650338357.877829,109,-0.82765132188797
1650338358.774571,110,-0.8315837383270264
1650338359.194122,111,-0.8356634378433228
1650338360.395134,112,-0.8395230174064636
1650338360.876429,113,-0.8431839942932129
1650338361.7748852,114,-0.8471972942352295
1650338362.502609,115,-0.8512255549430847
1650338363.362151,116,-0.8551901578903198
1650338364.2485518,117,-0.8585667014122009
1650338364.932987,118,-0.8619859218597412
1650338366.236695,119,-0.8650643825531006
1650338366.871455,120,-0.8682211637496948
1650338369.3620238,121,-0.8721118569374084
1650338369.861247,122,-0.8754218220710754
1650338370.480609,123,-0.878506064414978
1650338371.294089,124,-0.8814744353294373
1650338372.3506198,125,-0.8844794631004333
1650338375.3711538,126,-0.8877521753311157
1650338376.103683,127,-0.890469491481781
1650338377.219999,128,-0.8933674693107605
1650338378.027071,129,-0.8961750864982605
1650338379.730121,130,-0.8990013003349304
1650338380.298736,131,-0.901672899723053
1650338381.964821,132,-0.9044529795646667
1650338382.742034,133,-0.9074986577033997
1650338385.963695,134,-0.9109392762184143
1650338387.902922,135,-0.9140779376029968
1650338389.451293,136,-0.9167044162750244
1650338391.3214211,137,-0.9205201864242554
1650338391.909107,138,-0.9249839186668396
1650338392.962032,139,-0.9283881783485413
1650338393.860383,140,-0.9320551753044128
1650338395.988014,141,-0.9350209832191467
1650338398.660288,142,-0.9378863573074341
1650338400.9904482,143,-0.9401337504386902
1650338402.033247,144,-0.9420806169509888
1650338406.027703,145,-0.9437726736068726
1650338407.829452,146,-0.945128321647644
1650338408.4246771,147,-0.94589763879776
1650338412.742885,148,-0.9470749497413635
1650338413.2769861,149,-0.9482046365737915
1650338416.064533,150,-0.9493185877799988
1650338418.9486248,151,-0.9502657651901245
1650338426.0671349,152,-0.9504368901252747
1650338429.067997,153,-0.9501913785934448
1650338429.73561,154,-0.9502798318862915
1650338430.30783,155,-0.9499874711036682
1650338433.105558,156,-0.9501139521598816
1650338433.601346,157,-0.9503245949745178
1650338434.8336241,158,-0.950559139251709
1650338435.315032,159,-0.9508429765701294
1650338439.024748,160,-0.9513401985168457
1650338443.91938,161,-0.9518043994903564
1650338449.2002208,162,-0.9515002965927124
