Wall time,Step,Value
1650338276.531618,1,0.0
1650338276.5533519,2,0.0
1650338276.573629,3,0.0
1650338276.604605,4,0.0
1650338276.653685,5,0.0
1650338276.6811771,6,0.0
1650338276.709974,7,0.0
1650338276.861356,8,-0.4461538791656494
1650338277.497449,10,-0.4495788514614105
1650338277.998883,11,-0.4477556347846985
1650338277.190185,9,-0.4502837657928467
1650338278.712689,12,-0.4461052119731903
1650338278.989904,13,-0.4453088343143463
1650338279.441304,14,-0.4440998136997223
1650338279.769301,15,-0.4427993893623352
1650338281.2927518,16,-0.44126734137535095
1650338281.5205278,17,-0.43962809443473816
1650338281.9712691,18,-0.4378207325935364
1650338282.1753228,19,-0.4373171031475067
1650338283.266659,20,-0.4379303455352783
1650338284.555535,21,-0.4379785656929016
1650338285.379176,22,-0.43924710154533386
1650338285.607659,23,-0.44023457169532776
1650338285.872201,24,-0.44113966822624207
1650338286.147962,25,-0.4421685039997101
1650338286.774409,26,-0.44278115034103394
1650338287.752917,27,-0.44296547770500183
1650338287.93184,28,-0.4429306387901306
1650338289.388392,29,-0.4426962733268738
1650338289.6525812,30,-0.4422232210636139
1650338289.85569,31,-0.4417417049407959
1650338290.883158,32,-0.44116276502609253
1650338291.780604,33,-0.4402625858783722
1650338292.827004,34,-0.439278244972229
1650338293.4987168,35,-0.4380248486995697
1650338295.2311192,36,-0.4366070330142975
1650338296.625812,37,-0.4349615275859833
1650338296.85456,38,-0.43360188603401184
1650338297.1583629,39,-0.43285298347473145
1650338297.828321,40,-0.4323156177997589
1650338298.663782,41,-0.43162548542022705
1650338299.229963,42,-0.43099501729011536
1650338299.980036,43,-0.4300827085971832
1650338300.260916,44,-0.4292152225971222
1650338301.057317,45,-0.4294506013393402
1650338302.2754529,46,-0.42938271164894104
1650338302.626368,47,-0.4291674494743347
1650338303.339005,48,-0.42901045083999634
1650338303.636414,49,-0.4291260540485382
1650338303.8495228,50,-0.42946410179138184
1650338304.1751559,51,-0.429410845041275
1650338305.704341,52,-0.4303734004497528
1650338305.9187598,53,-0.4311789572238922
1650338306.119036,54,-0.4318363666534424
1650338306.441118,55,-0.43229907751083374
1650338307.3297029,56,-0.4326741099357605
1650338307.7023108,57,-0.4329969882965088
1650338308.361003,58,-0.4333304762840271
1650338308.610643,59,-0.4340612590312958
1650338309.378459,60,-0.4349594712257385
1650338310.066236,61,-0.43557751178741455
1650338310.8743649,62,-0.43645524978637695
1650338311.555776,63,-0.43729159235954285
1650338312.078859,64,-0.4383799731731415
1650338312.7448058,65,-0.43985819816589355
1650338313.3207538,66,-0.4413587152957916
1650338314.084063,67,-0.44283947348594666
1650338315.077408,68,-0.4444255828857422
1650338316.124457,69,-0.44554460048675537
1650338316.833486,70,-0.4466376006603241
1650338317.1737201,71,-0.44778814911842346
1650338318.08001,72,-0.4495026171207428
1650338318.319364,73,-0.4514428377151489
1650338319.1946082,74,-0.4529368579387665
1650338319.4060328,75,-0.45467016100883484
1650338320.060779,76,-0.45632404088974
1650338320.691346,77,-0.45768576860427856
1650338321.7229462,78,-0.45905229449272156
1650338323.0403981,79,-0.46019136905670166
1650338323.7028081,80,-0.4612685739994049
1650338323.917342,81,-0.4626411497592926
1650338324.655712,82,-0.46394142508506775
1650338325.1860218,83,-0.4655925929546356
1650338325.434398,84,-0.467204749584198
1650338327.028314,85,-0.4694681465625763
1650338329.2048352,86,-0.47203943133354187
1650338329.5771039,87,-0.47458186745643616
1650338330.154739,88,-0.47671225666999817
1650338330.499211,89,-0.478861540555954
1650338330.906832,90,-0.48080751299858093
1650338331.776891,91,-0.4827233850955963
1650338332.5110688,92,-0.48495906591415405
1650338332.9070358,93,-0.4872738718986511
1650338334.772077,94,-0.490145206451416
1650338336.923702,95,-0.49270954728126526
1650338337.438686,96,-0.4948541820049286
1650338339.0106921,97,-0.4965458810329437
1650338339.4874399,98,-0.4979439973831177
1650338339.8836339,99,-0.49943825602531433
1650338341.2559202,100,-0.5010080337524414
1650338341.780051,101,-0.5027644634246826
1650338344.6785831,102,-0.5043901205062866
1650338346.300252,103,-0.5055930018424988
1650338347.7163599,104,-0.5066773891448975
1650338348.297635,105,-0.5076555609703064
1650338349.584503,106,-0.5087039470672607
1650338351.210199,107,-0.5102986693382263
1650338351.668101,108,-0.5118570923805237
1650338352.408687,109,-0.5134122371673584
1650338353.700285,110,-0.5148447155952454
1650338354.328602,111,-0.5159404277801514
1650338357.4993799,112,-0.517271101474762
1650338357.8526149,113,-0.5183627605438232
1650338360.161386,114,-0.5199206471443176
1650338361.6676228,115,-0.5212382674217224
1650338363.989237,116,-0.5227391123771667
1650338365.34974,117,-0.5240803956985474
1650338365.847668,118,-0.525242805480957
1650338366.5242612,119,-0.526141345500946
1650338368.9405189,120,-0.5277803540229797
1650338372.842197,121,-0.5293159484863281
1650338373.1913579,122,-0.5304934978485107
1650338374.266944,123,-0.5316208600997925
1650338378.499995,124,-0.5326365828514099
1650338379.813025,125,-0.5335827469825745
1650338380.5190668,126,-0.5345660448074341
1650338381.144501,127,-0.5353673100471497
1650338384.862647,128,-0.5362194180488586
1650338387.210436,129,-0.537643313407898
1650338387.902923,130,-0.5388083457946777
1650338390.876749,131,-0.5400568842887878
1650338391.3079739,132,-0.5414502024650574
1650338392.149614,133,-0.5429997444152832
1650338394.150152,134,-0.5447843670845032
1650338394.862349,135,-0.546192467212677
1650338399.0309079,136,-0.5473111867904663
1650338399.635394,137,-0.5484471321105957
1650338400.14531,138,-0.5493183732032776
1650338403.919402,139,-0.5504624247550964
1650338405.9225442,140,-0.5516101121902466
1650338409.945772,141,-0.5525886416435242
1650338411.380816,142,-0.5531873106956482
1650338412.638587,143,-0.554236650466919
1650338415.9061592,144,-0.5555868148803711
1650338422.54514,145,-0.5566909909248352
1650338424.3086212,146,-0.5577659010887146
1650338425.225162,147,-0.5588717460632324
1650338425.669302,148,-0.5595856308937073
1650338426.5852642,149,-0.5604725480079651
1650338429.166937,150,-0.5617585182189941
1650338429.549655,151,-0.5636901259422302
1650338431.6893818,152,-0.5650853514671326
1650338433.456527,153,-0.5664856433868408
1650338435.5559921,154,-0.5674870610237122
1650338440.5954251,155,-0.5685466527938843
1650338443.664219,156,-0.5694676041603088
1650338447.436618,157,-0.5704378485679626
1650338448.548209,158,-0.5720919370651245
1650338450.677516,159,-0.5733367204666138
1650338455.558646,160,-0.5746122002601624
1650338459.731138,161,-0.5757189989089966
1650338462.297816,162,-0.576711118221283
1650338464.9007812,163,-0.5775831341743469
1650338469.0741482,164,-0.5782638192176819
1650338471.8063931,165,-0.5787761807441711
1650338472.905812,166,-0.5792118906974792
1650338475.996917,167,-0.5796457529067993
1650338477.200292,168,-0.5804438591003418
1650338479.48074,169,-0.5811524391174316
1650338481.9845278,170,-0.5817526578903198
1650338485.843353,171,-0.5822122097015381
1650338489.705808,172,-0.5826913118362427
1650338493.495399,173,-0.5833901762962341
1650338494.740812,174,-0.5843079090118408
1650338497.474442,175,-0.5853788256645203
1650338498.2939498,176,-0.5864410400390625
1650338501.131588,177,-0.5872775316238403
1650338503.396705,178,-0.5881339311599731
1650338506.2381911,179,-0.5890368819236755
1650338510.932422,180,-0.5901839137077332
1650338512.327184,181,-0.5915828943252563
1650338514.3031108,182,-0.5928516983985901
1650338516.9077618,183,-0.594031810760498
1650338540.47388,184,-0.5951469540596008
1650338543.3604212,185,-0.5959692597389221
1650338547.885377,186,-0.596844494342804
1650338549.759399,187,-0.5976901054382324
1650338551.3258922,188,-0.5984668135643005
1650338553.68662,189,-0.5995190739631653
1650338555.077371,190,-0.6004197001457214
1650338558.443625,191,-0.6013795137405396
1650338559.689184,192,-0.6022095084190369
1650338564.643424,193,-0.6031057238578796
1650338569.853677,194,-0.6038586497306824
1650338573.896657,195,-0.6044087409973145
1650338577.4604979,196,-0.6051367521286011
1650338579.3353338,197,-0.6057968735694885
1650338580.631479,198,-0.606454610824585
1650338584.374939,199,-0.6070438027381897
1650338589.037062,200,-0.6080901622772217
1650338593.049254,201,-0.6092880368232727
1650338607.3756402,202,-0.6102925539016724
1650338612.055231,203,-0.6110784411430359
1650338616.802332,204,-0.6121106743812561
1650338619.9641678,205,-0.6133055090904236
1650338621.4089532,206,-0.6145748496055603
1650338628.721024,207,-0.6157049536705017
1650338639.65906,208,-0.616783857345581
1650338643.701392,209,-0.6179103255271912
1650338646.053154,210,-0.6189722418785095
1650338648.331459,211,-0.6201601624488831
1650338651.337058,212,-0.6212150454521179
1650338657.2548292,213,-0.6224335432052612
1650338663.515122,214,-0.623867392539978
1650338668.957451,215,-0.6251681447029114
1650338674.0591118,216,-0.6265547871589661
1650338674.920095,217,-0.6281564831733704
1650338679.482754,218,-0.6293894648551941
1650338683.869751,219,-0.6304599046707153
1650338684.738668,220,-0.6312043070793152
1650338691.46101,221,-0.6322197914123535
