Wall time,Step,Value
1650339025.842994,1,2.0
1650339025.871383,2,2.0
1650339025.907691,3,2.0
1650339025.973634,4,2.0
1650339026.047609,5,2.0
1650339026.094173,6,2.0
1650339026.5005782,7,2.0
1650339026.835371,8,2.0
1650339027.8786309,10,2.0
1650339027.230612,9,2.0
1650339028.470099,11,2.0
1650339028.722063,12,2.0
1650339029.004153,13,2.0
1650339029.297812,14,2.0
1650339029.637058,15,2.0
1650339030.120485,16,2.0
1650339030.478784,17,2.0
1650339031.1317499,18,2.0
1650339031.666144,19,2.0
1650339032.0966778,20,2.0
1650339032.948559,21,2.0
1650339033.359995,22,2.0
1650339034.160521,23,2.0
1650339035.435285,24,2.0
1650339037.048324,25,2.0
1650339037.3434439,26,2.0
1650339037.958436,27,3.0
1650339038.294275,28,3.0
1650339038.650679,29,3.0
1650339039.854516,30,3.0
1650339040.259485,31,3.0
1650339042.132082,32,3.0
1650339042.975604,33,3.0
1650339043.409647,34,3.0
1650339045.459703,35,3.0
1650339046.012918,36,3.0
1650339047.28285,37,3.0
1650339048.674742,38,3.0
1650339049.190376,39,3.0
1650339050.203962,40,3.0
1650339051.215009,41,3.0
1650339051.5315058,42,3.0
1650339051.817,43,3.0
1650339052.352,44,3.0
1650339052.947467,45,3.0
1650339053.449165,46,3.0
1650339054.551585,47,4.0
1650339055.079186,48,4.0
1650339055.726766,49,4.0
1650339056.6797152,50,4.0
1650339057.2429068,51,4.0
1650339057.856744,52,4.0
1650339058.279308,53,4.0
1650339058.864343,54,4.0
1650339059.725455,55,4.0
1650339061.231928,56,4.0
1650339062.64831,57,4.0
1650339063.393931,58,4.0
1650339063.673267,59,4.0
1650339064.035861,60,4.0
1650339064.463701,61,4.0
1650339065.122657,62,4.0
1650339065.441441,63,4.0
1650339066.0671182,64,4.0
1650339066.319916,65,4.0
1650339066.665537,66,4.0
1650339067.276083,67,5.0
1650339069.49003,68,5.0
1650339069.914916,69,5.0
1650339070.6518679,70,5.0
1650339071.088371,71,5.0
1650339073.308347,72,5.0
1650339073.7118258,73,5.0
1650339074.048979,74,5.0
1650339074.840406,75,5.0
1650339075.486912,76,5.0
1650339076.121708,77,5.0
1650339076.598746,78,5.0
1650339077.03075,79,5.0
1650339077.437655,80,5.0
1650339080.128682,81,5.0
1650339080.6066298,82,5.0
1650339081.249148,83,5.0
1650339082.9048462,84,5.0
1650339084.046371,85,5.0
1650339084.901696,86,5.0
1650339086.47006,87,5.0
1650339087.621672,88,5.0
1650339089.635742,89,5.0
1650339091.6355278,90,5.0
1650339092.347448,91,5.0
1650339093.228776,92,5.0
1650339095.1079621,93,5.0
1650339095.5372941,94,5.0
1650339096.450912,95,5.0
1650339097.4747882,96,5.0
1650339098.548558,97,5.0
1650339100.4987662,98,5.0
1650339102.563017,99,5.0
1650339104.6205912,100,5.0
1650339105.7739918,101,6.0
1650339106.849922,102,6.0
1650339107.897784,103,6.0
1650339108.875498,104,6.0
1650339112.419073,105,6.0
1650339113.2670028,106,6.0
1650339114.308131,107,6.0
1650339115.198824,108,6.0
1650339117.4906821,109,6.0
1650339118.192838,110,6.0
1650339120.700064,111,6.0
1650339121.380217,112,6.0
1650339124.4183931,113,6.0
1650339125.188208,114,6.0
1650339125.784064,115,6.0
1650339126.7466261,116,6.0
1650339127.638141,117,6.0
1650339128.5824928,118,6.0
1650339129.685118,119,6.0
1650339132.127098,120,6.0
1650339135.6615748,121,6.0
1650339138.036303,122,6.0
1650339140.806381,123,6.0
1650339141.800143,124,6.0
1650339143.11848,125,7.0
1650339145.1550322,126,7.0
1650339147.463767,127,7.0
1650339148.3695061,128,7.0
1650339151.6404638,129,7.0
1650339152.378345,130,7.0
1650339156.220842,131,7.0
1650339159.044464,132,7.0
1650339160.1570492,133,7.0
1650339164.4818418,134,7.0
1650339167.964409,135,7.0
1650339169.631368,136,7.0
1650339170.4392729,137,7.0
1650339173.134408,138,7.0
1650339174.320283,139,7.0
1650339175.487106,140,7.0
1650339180.83987,141,7.0
1650339181.655852,142,7.0
1650339184.424077,143,7.0
1650339185.449462,144,7.0
1650339186.349966,145,8.0
1650339188.6569211,146,8.0
1650339191.910945,147,8.0
1650339196.4524648,148,8.0
1650339202.507773,149,8.0
1650339233.119115,150,8.0
1650339237.252506,151,8.0
1650339269.298058,152,8.0
1650339270.07165,153,8.0
1650339270.829062,154,8.0
1650339301.3454862,155,8.0
1650339303.282717,156,8.0
1650339313.226333,157,8.0
1650339328.72508,158,8.0
1650339333.593146,159,8.0
1650339334.503772,160,8.0
1650339335.4543622,161,8.0
1650339343.1058009,162,8.0
1650339351.162441,163,8.0
1650339352.6489,164,8.0
1650339358.410934,165,8.0
1650339362.962202,166,8.0
1650339363.552041,167,8.0
1650339381.479721,168,8.0
1650339386.451005,169,8.0
1650339394.1597178,170,8.0
1650339406.148476,171,8.0
1650339411.359602,172,8.0
1650339426.0039082,173,8.0
1650339433.517601,174,8.0
1650339436.654216,175,9.0
1650339439.4408672,176,9.0
1650339442.629987,177,9.0
1650339446.0393758,178,9.0
1650339448.9028502,179,9.0
1650339450.77363,180,9.0
1650339458.513134,181,9.0
1650339462.7045498,182,9.0
1650339466.372372,183,9.0
1650339469.226193,184,9.0
1650339478.264767,185,9.0
1650339481.815113,186,9.0
1650339493.550213,187,9.0
1650339501.511689,188,9.0
1650339504.300019,189,9.0
1650339509.180059,190,9.0
1650339512.272091,191,9.0
1650339516.747734,192,9.0
1650339517.625675,193,9.0
1650339525.347255,194,9.0
1650339533.6992152,195,10.0
1650339542.407317,196,10.0
1650339547.484808,197,10.0
1650339551.067482,198,10.0
1650339556.9667552,199,10.0
1650339560.625657,200,10.0
1650339587.4495318,201,10.0
1650339591.171257,202,10.0
1650339598.490823,203,10.0
1650339605.947125,204,10.0
1650339615.713954,205,10.0
1650339640.094042,206,10.0
1650339644.1185222,207,10.0
1650339646.195225,208,10.0
1650339648.151818,209,10.0
1650339654.583442,210,10.0
1650339659.743259,211,10.0
1650339667.0181649,212,10.0
1650339673.959199,213,10.0
1650339678.804312,214,10.0
1650339686.887817,215,11.0
1650339695.8466408,216,11.0
1650339698.192031,217,11.0
1650339699.192109,218,11.0
1650339704.747726,219,11.0
1650339705.07883,220,11.0
1650339711.6323872,221,11.0
1650339713.4662888,222,11.0
1650339718.38572,223,11.0
1650339726.6290188,224,11.0
1650339736.843553,225,11.0
1650339742.455616,226,11.0
1650339748.3261921,227,11.0
1650339756.042864,228,11.0
1650339756.951566,229,11.0
1650339762.057492,230,11.0
1650339766.839829,231,11.0
1650339772.006882,232,11.0
1650339777.390162,233,11.0
1650339781.909915,234,11.0
1650339796.4473321,235,12.0
1650339801.538204,236,12.0
1650339802.534074,237,12.0
1650339805.686315,238,12.0
1650339807.073819,239,12.0
1650339812.267288,240,12.0
1650339817.748499,241,12.0
1650339832.1404989,242,12.0
1650339834.568258,243,12.0
1650339866.146352,244,12.0
1650339870.540554,245,12.0
1650339876.887871,246,12.0
1650339885.15678,247,12.0
1650339902.271473,248,12.0
1650339906.004065,249,12.0
1650339938.051753,250,12.0
1650339942.334649,251,12.0
1650339952.909676,252,12.0
1650339957.10411,253,12.0
1650339963.161077,254,12.0
1650339967.652843,255,12.0
1650339977.11049,256,12.0
1650339983.102575,257,12.0
1650339991.924055,258,12.0
1650339997.9569201,259,12.0
1650339999.411096,260,12.0
1650340001.743568,261,12.0
1650340010.488808,262,12.0
1650340013.008839,263,12.0
1650340014.104376,264,13.0
1650340025.542502,265,13.0
1650340038.1628249,266,13.0
1650340044.148074,267,13.0
1650340045.371647,268,13.0
1650340046.988788,269,13.0
1650340051.617093,270,13.0
1650340052.4545448,271,13.0
1650340063.1339672,272,13.0
1650340075.861581,273,13.0
1650340082.590534,274,13.0
1650340084.528002,275,13.0
1650340090.334583,276,13.0
1650340094.9561942,277,13.0
1650340096.0185258,278,13.0
1650340100.6266859,279,13.0
1650340107.730977,280,13.0
1650340138.6860921,281,13.0
1650340168.050926,282,13.0
1650340170.8383858,283,13.0
1650340185.7012951,284,14.0
1650340188.20204,285,14.0
1650340219.457424,286,14.0
1650340221.84772,287,14.0
1650340226.945088,288,14.0
1650340257.785738,289,14.0
1650340264.7681239,290,14.0
1650340266.325801,291,14.0
1650340266.7742631,292,14.0
1650340273.045869,293,14.0
1650340278.0753212,294,14.0
1650340287.839916,295,14.0
1650340292.828224,296,14.0
1650340321.549441,297,14.0
1650340352.773529,298,14.0
1650340357.587685,299,14.0
1650340368.7804701,300,14.0
