Wall time,Step,k=1,k=2,k=5
1650336441,104,-1.014784813,-0.507655561,-0.8104135
1650336443,105,-1.009670734,-0.508703947,-0.8150375
1650336444,106,-1.004849076,-0.510298669,-0.8191654
1650336445,107,-1.00035274,-0.511857092,-0.8232235
1650336446,108,-0.996039629,-0.513412237,-0.8276513
1650336446,109,-0.991863251,-0.514844716,-0.8315837
1650336447,110,-0.987339497,-0.515940428,-0.8356634
1650336448,111,-0.982932329,-0.517271101,-0.839523
1650336449,112,-0.978309155,-0.518362761,-0.843184
1650336450,113,-0.973941207,-0.519920647,-0.8471973
1650336451,114,-0.969388306,-0.521238267,-0.8512256
1650336451,115,-0.96483463,-0.522739112,-0.8551902
1650336454,116,-0.960230947,-0.524080396,-0.8585667
1650336456,117,-0.955854475,-0.525242805,-0.8619859
1650336457,118,-0.951419413,-0.526141346,-0.8650644
1650336460,119,-0.947519004,-0.527780354,-0.8682212
1650336461,120,-0.943748116,-0.529315948,-0.8721119
1650336462,121,-0.93986094,-0.530493498,-0.8754218
1650336463,122,-0.935935259,-0.53162086,-0.8785061
1650336465,123,-0.93192637,-0.532636583,-0.8814744
1650336469,124,-0.92811197,-0.533582747,-0.8844795
1650336472,125,-0.924095392,-0.534566045,-0.8877522
1650336473,126,-0.919842541,-0.53536731,-0.8904695
1650336476,127,-0.915596664,-0.536219418,-0.8933675
1650336478,128,-0.91179055,-0.537643313,-0.8961751
1650336479,129,-0.907938004,-0.538808346,-0.8990013
1650336480,130,-0.904153764,-0.540056884,-0.9016729
1650336482,131,-0.900275648,-0.541450202,-0.904453
1650336484,132,-0.896452725,-0.542999744,-0.9074987
1650336492,133,-0.892582834,-0.544784367,-0.9109393
1650336499,134,-0.888249159,-0.546192467,-0.9140779
1650336500,135,-0.884071112,-0.547311187,-0.9167044
1650336503,136,-0.879827738,-0.548447132,-0.9205202
1650336511,137,-0.875472009,-0.549318373,-0.9249839
1650336514,138,-0.871123016,-0.550462425,-0.9283882
1650336516,139,-0.866711676,-0.551610112,-0.9320552
1650336517,140,-0.862258494,-0.552588642,-0.935021
1650336518,141,-0.857781172,-0.553187311,-0.9378864
